5,Hugo Brown
7,Alexander Mellen
9,Brant Friedholm
10,Cale Kulig
11,Kyler Harris
13,Sam Roemischer
14,Parker Terio
15,Reid Suchanek
16,William Whittemore
17,Zane Gold
18,Cody Moore
37,Luke Campbell
57,Chase Daehler
63,David Chaisson
71,John Hammel
73,Kyle Lavalle
87,Even Lavalle
88,Jake O'Neil
